zip,no.drug.arrests.13.18,no.ems.calls.13.18,Total.Population,Total.Population.Over18,proportionWhite,proportionNonWhite,Total.Naxolone.Saves,Overdose.Death.Total
10301,2600,4611,39451,30514,0.41631390839268967,0.5836860916073103,240,20
10302,1387,1402,18539,14351,0.332488267975619,0.6675117320243811,59,29
10303,1229,1160,25804,18507,0.19194698496357154,0.8080530150364285,64,13
10304,2092,2383,41884,32419,0.3681119281825996,0.6318880718174005,144,25
10305,1099,1706,42311,33281,0.6285126799177518,0.3714873200822481,151,30
10306,1053,2117,54021,43242,0.7521334295921956,0.24786657040780438,180,42
10307,323,309,15528,11415,0.8694616177228233,0.1305383822771767,55,13
10308,337,653,30024,24123,0.8277378097521982,0.17226219024780176,47,20
10309,915,914,33660,26033,0.8649435531788473,0.1350564468211527,77,21
10310,880,1129,23708,17595,0.40893369326809514,0.5910663067319049,68,16
10312,1097,1088,61058,47800,0.8244619869632153,0.1755380130367847,111,36
10314,1651,1738,89960,71346,0.6428523788350378,0.3571476211649622,135,41
